"","x"
"412",2929.3
"413",5002
"414",5651.9
"415",5040.4
"416",3877.9
"417",3204.8
"418",4306
"419",7569.6
"420",8732.6
"421",3207.8
"422",3213.7
"423",3698.3
"424",3526.9
"425",4293.3
"426",5962.5
"427",6003.8
"428",4932
"429",5918.9
"430",4305.3
"431",3539.6
"432",4307.5
"433",7858.1
"434",3753.3
"435",11736.9
"436",3648
"437",11810.9
"438",3510.3
"439",1683.7
"440",3695.3
"441",3903.1
"442",3878.4
"443",3433.5
"444",3222.1
"445",1910.3
"446",1907.4
"447",1929.4
"448",3390.6
"449",219.4
"450",78.6
"451",19.1
"452",13.9
"453",35.3
"454",85.4
"455",78.6
"456",293
"457",5909
"458",5713
"459",8603.2
"460",7598.6
"461",11147.6
"462",4422.3
"463",6176.6
"464",7019.2
"465",6226.9
"466",6656.8
"467",7761.8
"468",9683.9
"469",32240
"470",10225.9
"471",12031
"472",9722.3
"473",6078.8
"474",9034.9
"475",7507.4
"476",9703
"477",12070.4
"478",11869.8
"479",13570.9
"480",16156.1
"481",26781.5
"482",6645.6
"483",6476
"484",5985.3
"485",4307
"486",9276.5
"487",8702.4
"488",2022.4
"489",9328
"490",8711.7
"491",11306.4
"492",11204
"493",14016.4
"494",5707.2
"495",8232.9
"496",9858.7
"497",6770.5
"498",7309.8
"499",72102.5
"500",73920.3
"501",73304.6
"502",4840.9
"503",7343
"504",13135.3
"505",5532.5
"506",4728.4
"507",1220.6
"508",1800.2
"509",6177.3
"510",5555.9
"511",10282.4
"512",7935.3
"513",5807.1
"514",7753.7
"515",11633.1
"516",14289.7
"517",10012
"518",5678.5
"519",16463
"520",9319
"521",8543.6
"522",0
"523",933.7
"524",10701.6
"525",391.6
"526",187
"527",4922.6
"528",4754.4
"529",4681
"530",2424.6
"531",6045.9
"532",6837.3
"533",5889.8
"534",6225.7
"535",6065.8
"536",6670.6
"537",7900.6
"538",6076.7
"539",6467.8
"540",8020.8
"541",6308.8
"542",21703.4
"543",12958.9
"544",13257.9
"545",6351.6
"546",7529
"547",5701.8
"548",9545
"549",25645.2
"550",9898.9
"551",9835.8
"552",6224.8
"553",7553.2
"554",6285.7
"555",7940
"556",12226.9
"557",8559.4
"558",8667.9
"559",7839.1
"560",7413.9
"561",6076.4
"562",7059.8
"563",5036.3
"564",5802.6
"565",6858.3
"566",9518.4
"567",6842.1
"568",5431.5
"569",7907
"570",7381.3
"571",1371.1
"572",1382.7
"573",1381.5
"574",1309.9
"575",1112
"576",766.5
"577",1175.1
"578",1178.6
"579",1184.9
"580",1143.9
"581",1129
"582",950.4
"583",854.8
"584",883.2
"585",967.2
"586",1457
"587",1102.4
"588",1529.8
"589",8972.7
"590",1662.2
"591",1489.7
"592",1555.3
"593",1738.2
"594",1573.1
"595",1803.1
"596",4571.4
"597",5459.2
"598",4827.3
"599",4979.2
"600",5199.5
"601",5200.4
"602",4013
"603",9323.9
"604",8993.2
"605",8235.6
"606",11088.2
"607",8280.3
"608",10921.9
"609",5785.4
"610",8468.7
"611",7394.5
"612",7430.3
"613",8638
"614",10372.2
"615",11175.7
"616",9789.7
"617",8855.9
"618",5406.4
"619",6365.6
"620",5431.2
"621",4836.8
"622",8354.3
"623",4270.5
"624",4354.5
"625",4374.6
"626",5875.6
"627",6562.8
"628",7965.4
"629",8659.9
"630",8902.6
"631",6435.8
"632",4911.7
"633",6608.5
"634",6104.8
"635",8625.9
"636",6007.7
"637",7377.5
